name,director,year,genre,likes,rating,critics,imbdScore,Torrent720,Torrent1080,cantComent,synopsis
National Lampoon's Van Wilder,Walt Becker,2002,Action / Comedy / Romance,112,73%,18%,6.4,https://yts.mx/torrent/download/D3C74A8A40DB70486DEF274F420DBBF93BA8F941,https://yts.mx/torrent/download/A4FFB23A642CB2FDB04EEA0427AF19D9903B054E,5,"In certain circles, Van Wilder is a living legend at Coolidge College, where he's been a student now for seven years, not yet having completed his degree requirements. Despite being bright, he never attends classes anymore, instead hosting parties, imparting his brand of wisdom to his adoring fans, hosting school organization fundraisers, and rallying the college spirit among the student body. Conversely, Van loves his Coolidge life. In his antics, he has a 2ic in Hutch, and always hires a personal assistant, this year's being a South Asian transfer student named Taj, who wants to learn from the best, namely Van. Van's college life is threatened when his wealthy neglectful father only now learns that Van is still in school, Wilder Sr. who has been paying his way all this time. As such, Wilder Sr. pulls the plug on that subsidy, meaning that Van has to figure out a way to pay for his Coolidge life. Because of his living legend status, Van becomes the subject of a series of articles by the college paper's star reporter, Gwen Pearson, an assignment she would rather not do, preferring harder hitting material. However, in Gwen needing to spend time with Van, Richard Bagg, Gwen's arrogant fraternity president pre-med boyfriend, tries to place Van in a bad light time and time again, believing that Gwen and Van are falling for each other. Also in spending time with Gwen, Van may come to a true understanding of why he has stayed at Coolidge for such a long time, and what he should be looking for in his future. —Huggo"
Coffin Homes,Fruit Chan,2021,Comedy / Horror,4,-,-,5.8,https://yts.mx/torrent/download/C192F69C673A24A319389D4210EEE5907A3F068E,https://yts.mx/torrent/download/C280882B553AB4B876B9C98DF7595F5A4043EB64,1,"Savage satire comes with ghosts and cartoonish violence in Fruit Chan's Coffin Homes, a gruesome set of horror tales with Hong Kong's astronomically priced housing market as the backdrop."
Theo Von: No Offense,John Asher,2016,Comedy / Documentary,0,-,-,5.7,https://yts.mx/torrent/download/2CE4C1376908DDC90F077E945DBC0966CBBB5113,https://yts.mx/torrent/download/2AEA01180C4BA81ECD7E0C42C2F7302B6F100856,0,"Southern comedian Theo Von offers up a twisted take on his dating mishaps, meeting Brad Pitt, chasing down fugitive chimpanzees and more."
Man with the Screaming Brain,Bruce Campbell,2005,Comedy / Family / Fantasy,1,43%,33%,5.5,https://yts.mx/torrent/download/5892E5B4D919AA63C9BF61779B027D238F9BA002,https://yts.mx/torrent/download/987541A4281BC85B8EE11214E05E94150C974604,0,"Man with the Screaming Brain is a story of greed, betrayal and revenge in a small Bulgarian town. William Cole, wealthy industrialist, winds up with part of his brain replaced by that of a Russian cab driver Yegor. The two couldn't be more different, but they share one thing - both were killed by the same woman. Brought back to life by a mad scientist, William and Yegor form an unlikely partnership to track down their common nemesis. —Jason McFarland"
Joshua: Teenager vs. Superpower,Joe Piscatella,2017,Documentary,1,85%,93%,7.2,https://yts.mx/torrent/download/6641F3E20319C876FB908249D803C7B506454238,https://yts.mx/torrent/download/136F23B26A2D308DA847D560F7CDE29B947D1D72,2,"When the Chinese Communist Party backtracks on its promise of autonomy to Hong Kong, teenager Joshua Wong decides to save his city. Rallying thousands of kids to skip school and occupy the streets, Joshua becomes an unlikely leader in Hong Kong and one of China's most notorious dissidents."
The Wedding Veil Legacy,Terry Ingram,2022,Comedy / Romance,0,-,-,8,https://yts.mx/torrent/download/843F5C4C4E9A8F6C691F2D07FA4D5D0F5718E2A4,https://yts.mx/torrent/download/C1C6652EBC1112D29E0AFB7049385F2BF9BC0920,1,"Tracy meets Nick in the third installment of the trilogy, and he helps her save an original draft of The New Colossus in exchange for her helping him run his restaurant. Tracy begins to feel uneasy as they get closer."
The 100th Love with You,Shô Tsukikawa,2017,Drama / Romance,0,-,-,6.5,https://yts.mx/torrent/download/97BC417FB8C3D99C26925948EA9CE78377EAECB3,https://yts.mx/torrent/download/2A8C532588A6F35028CF746D084B9489C48E0642,0,"Aoi and Riku, who have been friends since they were five years old, are part of a band with other students at the university they attend. Riku is known as being unflappable and ""perfect"" to fellow band members. Rifts and misunderstandings in the band, Strobocorp, lead to a misfired performance on Aoi's birthday at a local festival, after which she has a tragic accident. She awakens to find herself re-living the prior week before the problems emerged, and Riku reveals that he can turn back time. He explains that he has been doing this for years, allowing him to perfect his apparent abilities. They admit to each other that their feelings go beyond friendship as they repeatedly relive the past. —Brian Greenhalgh"
Confidential Assignment,Sung-hoon Kim,2017,Action / Comedy / Drama / Thriller,13,-,65%,6.6,https://yts.mx/torrent/download/DF3E07B6AAC6308F42D6123F654A37440F6EBAE7,https://yts.mx/torrent/download/35EB55871BDD513DB886A1EDA9A28CC43733FA49,6,"When a crime organization from North Korea crosses borders and enters South Korean soil, a South Korean detective must cooperate with a North Korean detective to investigate their whereabouts."
The Believers,John Schlesinger,1987,Action / Crime / Drama / Horror / Mystery / Thriller,38,45%,39%,6.1,https://yts.mx/torrent/download/43CBF8CC2870400A2045BD7B0F60CF1BFC11323E,https://yts.mx/torrent/download/72558B309F12FCB46A81F7EE18D150B6DB723804,2,"After the death of his wife, police psychiatrist Cal Jamison moves to New York. There he has to help in the investigation of the murder of two youths, who seem to have been immolated during a cult ritual. Jamison believes it's been Voodoo and, ignoring the warnings of his housekeeper, enters the scenery and soon gets under their influence. They try to get him to sacrifice his own son. —Tom Zoerner"
The Last Remake of Beau Geste,Marty Feldman,1977,Adventure / Comedy / War,0,62%,42%,6.1,https://yts.mx/torrent/download/DAD3AB7D5C992CCF4FBBB4BC409D169D9C7194A0,https://yts.mx/torrent/download/39BE8A51028E81788F056DCE9388BDEA4D67E117,1,"The priceless Blue Water sapphire is coveted by the heirs of Sir Hector Geste - his new wife, Flavia; his daughter, Isabel; and his adopted twin sons, heroic Beau and pathetic Digby. When Sir Hector takes to his deathbed (where he remains for the duration of the film), Beau absconds with the stone, to keep it from his stepmother. Flavia pursues him to North Africa, dispensing sexual favors to promote her schemes. —"
